temp_C,duration_min,survival,age_days,setting,heat_type,species,reference,species_full,notes,status,pop_id
48.8,1,1,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,5,0.92,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,10,0.94,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,20,0.87,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,30,0.9,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,60,0.93,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,180,1,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
48.8,300,0.5,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,1
51.8,1,0.92,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,5,0.57,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,10,0.93,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,20,1,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,30,0.94,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,60,0.64,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,2
51.8,180,0,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",0,2
51.8,300,0,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",0,2
54.4,1,1,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,3
54.4,5,0.79,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,3
54.4,10,0.47,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,3
54.4,20,0.15,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",1,3
54.4,30,0,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",0,3
54.4,60,0,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",0,3
54.4,180,0,14 to 28,greenhouse,dry water bath,PIPO,Seidel 1986,Pinus ponderosa,"",0,3
